golId,game,event1,event2,event3,event4,event5,event6,event7,event8,event9,event10,event11,event12,event13,event14,event15,event16,event17,event18,event19,event20,event21,event22,event23,event24,event25,event26,event27,event28,event29,event30,event31,event32,event33,event34,event35,event36,event37,event38,event39,event40,event41,event42,event43,event44,event45,blueTopGP,blueTopWR,blueTopKDA,blueJungleGP,blueJungleWR,blueJungleKDA,blueMidGP,blueMidWR,blueMidKDA,blueADCGP,blueADCWR,blueADCKDA,blueSupportGP,blueSupportWR,blueSupportKDA,redTopGP,redTopWR,redTopKDA,redJungleGP,redJungleWR,redJungleKDA,redMidGP,redMidWR,redMidKDA,redAdcGP,redAdcWR,redAdcKDA,redSupportGP,redSupportWR,redSupportKDA,result
42061,ESPORTSTMNT02_2914024,BLUE: first_blood,RED: dragon,BLUE: herald,BLUE: dragon,BLUE: herald,RED: first_tower_bot,BLUE: dragon,BLUE: first_tower_mid,RED: first_tower_top,RED: dragon,RED: first_tower_mid,RED: baron,RED: dragon,RED: second_tower_mid,RED: second_tower_bot,RED: third_tower_bot,RED: inhibitor_bot,RED: nexus_tower,RED: nexus_tower,RED: nexus,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,1.0,5.6,0,0,0,1,0.0,14,0,0,0,0,0,0,5,0.4,4.0,2,0.5,10.5,1,0.0,6.0,13,0.54,2.41,0
42062,ESPORTSTMNT02_2884291,BLUE: first_blood,RED: dragon,RED: herald,BLUE: dragon,BLUE: first_tower_bot,BLUE: herald,BLUE: first_tower_mid,BLUE: dragon,BLUE: first_tower_top,RED: first_tower_bot,BLUE: second_tower_mid,BLUE: baron,BLUE: dragon,RED: first_tower_top,BLUE: second_tower_bot,BLUE: third_tower_mid,BLUE: third_tower_bot,BLUE: second_tower_top,BLUE: third_tower_top,BLUE: inhibitor_mid,BLUE: inhibitor_top,BLUE: inhibitor_bot,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,,,1,0.0,5.0,0,0,0,3,0.33,5.14,2,1.0,4.4,0,0,0,0,0,0,5,0.4,3.85,0,0,0,4,0.0,1.56,0,0,0,1
42063,ESPORTSTMNT02_2884308,BLUE: dragon,BLUE: first_blood,RED: herald,RED: dragon,BLUE: first_tower_top,BLUE: dragon,BLUE: first_tower_mid,BLUE: first_tower_bot,BLUE: herald,BLUE: second_tower_mid,BLUE: second_tower_bot,BLUE: third_tower_mid,RED: dragon,BLUE: inhibitor_mid,BLUE: third_tower_bot,BLUE: nexus_tower,BLUE: inhibitor_bot,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.5,2.4,1,0.0,6.0,2,0.5,8.0,4,0.75,5.88,1,1.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42064,ESPORTSTMNT02_2884319,RED: first_blood,BLUE: herald,BLUE: dragon,BLUE: first_tower_top,RED: first_tower_bot,BLUE: dragon,RED: herald,RED: first_tower_mid,RED: first_tower_top,RED: dragon,RED: baron,RED: second_tower_bot,RED: second_tower_mid,RED: dragon,BLUE: first_tower_bot,BLUE: first_tower_mid,RED: baron,RED: third_tower_mid,RED: inhibitor_mid,RED: nexus_tower,RED: nexus_tower,RED: nexus,,,,,,,,,,,,,,,,,,,,,,,,9,0.78,7.75,6,0.67,4.46,2,0.5,3.29,1,0.0,3.4,0,0,0,0,0,0,1,0.0,14.0,3,0.33,4.75,3,0.33,1.18,2,0.5,9.67,0
42065,ESPORTSTMNT02_2884336,RED: first_blood,RED: dragon,BLUE: herald,BLUE: first_tower_top,RED: dragon,BLUE: herald,BLUE: first_tower_mid,BLUE: dragon,RED: first_tower_top,BLUE: first_tower_bot,BLUE: dragon,BLUE: dragon,BLUE: baron,BLUE: second_tower_bot,BLUE: second_tower_mid,BLUE: third_tower_bot,BLUE: inhibitor_bot,BLUE: nexus_tower,BLUE: third_tower_mid,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,4,0.25,12.5,3,0.33,2.56,4,0.75,5.6,2,0.5,0.78,3,0.67,1.44,1,1.0,0.0,0,0,0,5,1.0,3.2,1
40047,ESPORTSTMNT02_2785811,RED: first_blood,RED: dragon,RED: herald,RED: first_tower_bot,RED: dragon,RED: herald,RED: first_tower_top,RED: first_tower_mid,BLUE: dragon,RED: baron,RED: dragon,RED: second_tower_mid,RED: second_tower_bot,RED: second_tower_top,RED: third_tower_bot,RED: inhibitor_bot,RED: nexus_tower,RED: nexus_tower,RED: nexus,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,17,0,0,0,0,0,0,1,1.0,1.17,13,0.62,2.55,2,0.0,2.6,1,0.0,7.0,3,0.33,2.7,0,0,0,0,0,0,0
41392,ESPORTSTMNT01_2965293,BLUE: first_blood,BLUE: herald,BLUE: dragon,BLUE: first_tower_bot,BLUE: first_tower_top,BLUE: herald,BLUE: first_tower_mid,BLUE: dragon,BLUE: second_tower_bot,BLUE: third_tower_bot,BLUE: second_tower_mid,BLUE: baron,BLUE: inhibitor_bot,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,3.25,0,0,0,1,0.0,7.5,1,1.0,5.0,1,1.0,5.5,1,0.0,1.0,0,0,0,0,0,0,0,0,0,4,0.75,1.78,1
40049,ESPORTSTMNT02_2785788,RED: first_blood,BLUE: dragon,RED: herald,RED: first_tower_bot,RED: dragon,RED: first_tower_top,RED: herald,RED: first_tower_mid,RED: second_tower_mid,RED: dragon,RED: second_tower_bot,RED: second_tower_top,RED: baron,BLUE: first_tower_bot,RED: third_tower_top,RED: inhibitor_top,RED: dragon,RED: third_tower_mid,RED: third_tower_bot,RED: inhibitor_bot,RED: nexus_tower,RED: nexus_tower,RED: inhibitor_mid,RED: nexus,,,,,,,,,,,,,,,,,,,,,,2,0.5,1.75,7,0.71,2.91,0,0,0,1,0.0,1.14,5,0.2,6.36,0,0,0,0,0,0,2,0.5,27.0,1,1.0,1.33,2,1.0,3.0,0
41391,ESPORTSTMNT01_2965326,RED: first_blood,RED: dragon,RED: herald,RED: dragon,RED: first_tower_bot,RED: herald,RED: dragon,RED: first_tower_mid,BLUE: first_tower_top,RED: dragon,BLUE: first_tower_mid,RED: first_tower_top,RED: second_tower_mid,RED: baron,RED: second_tower_bot,RED: third_tower_bot,RED: inhibitor_bot,RED: nexus_tower,RED: nexus_tower,RED: nexus,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0.5,3.8,0,0,0,2,0.5,1.14,1,1.0,13,3,0.67,2.42,0,0,0,2,0.0,5.5,0,0,0,0,0,0,0
40050,ESPORTSTMNT02_2785660,RED: first_blood,RED: dragon,BLUE: herald,RED: dragon,BLUE: first_tower_bot,RED: herald,RED: first_tower_top,RED: dragon,RED: first_tower_mid,BLUE: first_tower_top,BLUE: baron,RED: first_tower_bot,BLUE: dragon,BLUE: first_tower_mid,BLUE: second_tower_bot,BLUE: second_tower_mid,BLUE: dragon,BLUE: baron,BLUE: second_tower_top,BLUE: third_tower_mid,BLUE: inhibitor_mid,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,,,,0,0,0,3,0.33,2.9,0,0,0,0,0,0,4,0.75,3.25,0,0,0,0,0,0,0,0,0,1,0.0,7.67,0,0,0,1
40051,ESPORTSTMNT02_2786478,RED: first_blood,BLUE: herald,RED: dragon,BLUE: first_tower_top,RED: dragon,BLUE: herald,BLUE: first_tower_mid,BLUE: dragon,BLUE: baron,RED: first_tower_bot,RED: first_tower_top,BLUE: first_tower_bot,BLUE: second_tower_mid,BLUE: second_tower_bot,BLUE: second_tower_top,BLUE: third_tower_mid,BLUE: inhibitor_mid,RED: dragon,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,,,,,,,5,0.6,3.53,1,0.0,7.0,9,0.56,4.11,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0,0,0,0,0,0,0,0,0,1
40052,ESPORTSTMNT02_2776167,BLUE: first_blood,RED: herald,RED: dragon,RED: dragon,RED: herald,RED: first_tower_top,BLUE: first_tower_bot,BLUE: first_tower_top,RED: dragon,BLUE: first_tower_mid,BLUE: baron,RED: first_tower_mid,BLUE: second_tower_mid,BLUE: second_tower_bot,BLUE: dragon,RED: second_tower_top,BLUE: third_tower_mid,BLUE: inhibitor_mid,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3,0.33,2.9,3,0.33,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.14,5,0.2,6.36,1
40053,ESPORTSTMNT02_2776298,RED: first_blood,RED: dragon,BLUE: herald,RED: dragon,RED: first_tower_top,RED: herald,RED: first_tower_bot,RED: dragon,BLUE: first_tower_top,RED: dragon,RED: first_tower_mid,RED: second_tower_mid,BLUE: baron,RED: second_tower_top,BLUE: first_tower_mid,RED: elder_dragon,RED: third_tower_mid,RED: inhibitor_mid,RED: nexus_tower,RED: nexus_tower,RED: nexus,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0.5,3.17,0,0,0,0,0,0,0,0,0,1,0.0,4.5,0,0,0,0,0,0,0,0,0,3,0.67,1.1,0
40054,ESPORTSTMNT02_2786602,RED: first_blood,RED: herald,BLUE: dragon,BLUE: dragon,RED: herald,BLUE: first_tower_mid,RED: first_tower_bot,RED: first_tower_top,RED: dragon,RED: first_tower_mid,BLUE: dragon,BLUE: first_tower_bot,BLUE: first_tower_top,BLUE: dragon,BLUE: baron,BLUE: second_tower_top,BLUE: third_tower_top,BLUE: inhibitor_top,BLUE: second_tower_bot,BLUE: third_tower_bot,BLUE: second_tower_mid,BLUE: inhibitor_bot,BLUE: third_tower_mid,BLUE: elder_dragon,BLUE: inhibitor_mid,BLUE: nexus_tower,BLUE: inhibitor_top,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1.0,1.33,2,1.0,3.0,4,0.75,9.83,0,0,0,2,1.0,2.29,3,0.67,3.67,1,0.0,8,1
