game_id,event1,event2,event3,event4,event5,first_blood,blue_dragon,blue_tower_bot,blue_others,blue_adc_gp,blue_adc_wr,blue_adc_kda,red_dragon,red_tower_bot,red_others,red_adc_gp,red_adc_wr,red_adc_kda,winner
47855,first_blood,other,tower_bot,other,dragon,BLUE,0,0,2,0,0.0,0.0,1,1,0,1,1.0,4.0,BLUE
48367,dragon,first_blood,other,dragon,other,RED,0,0,2,1,0.0,7.0,2,0,0,2,0.0,14.0,BLUE
47857,first_blood,dragon,other,dragon,other,RED,0,0,1,2,0.5,8.25,2,0,1,5,0.4,5.17,RED
48368,first_blood,dragon,other,dragon,other,BLUE,2,0,1,8,0.38,5.39,0,0,1,1,0.0,7.0,BLUE
45299,dragon,other,first_blood,dragon,tower_bot,BLUE,1,0,1,1,1.0,14.0,1,1,0,0,0.0,0.0,BLUE
45300,dragon,first_blood,other,dragon,other,RED,0,0,1,0,0.0,0.0,2,0,1,0,0.0,0.0,RED
45301,first_blood,dragon,other,tower_bot,dragon,BLUE,2,1,1,1,1.0,2.8,0,0,0,1,0.0,8.0,BLUE
45302,dragon,other,first_blood,dragon,tower_bot,BLUE,1,1,1,0,0.0,0.0,1,0,0,2,0.5,2.83,RED
47859,first_blood,dragon,other,dragon,other,BLUE,1,0,2,0,0.0,0.0,1,0,0,2,0.5,8.25,BLUE
45304,first_blood,other,dragon,other,dragon,BLUE,0,0,2,0,0.0,0.0,2,0,0,0,0.0,0.0,RED
45305,dragon,first_blood,other,dragon,other,BLUE,2,0,2,0,0.0,0.0,0,0,0,1,1.0,0.67,BLUE
45306,first_blood,other,dragon,other,other,RED,0,0,2,0,0.0,0.0,1,0,1,1,0.0,4.67,RED
45307,first_blood,other,dragon,other,other,BLUE,0,0,3,0,0.0,0.0,1,0,0,1,1.0,13.0,RED
45308,dragon,other,dragon,tower_bot,other,no first blood,2,1,1,0,0.0,0.0,0,0,1,0,0.0,0.0,BLUE
47861,first_blood,other,dragon,other,dragon,BLUE,1,0,2,3,0.67,1.91,1,0,0,3,0.67,4.38,BLUE
46858,first_blood,dragon,other,tower_bot,dragon,BLUE,0,0,1,8,0.5,1.95,2,1,0,0,0.0,0.0,RED
46859,first_blood,dragon,other,other,dragon,BLUE,0,0,0,4,0.75,3.67,2,0,2,6,0.33,4.6,RED
46864,first_blood,dragon,other,tower_bot,dragon,BLUE,1,0,0,8,0.62,5.6,1,1,1,0,0.0,0.0,BLUE
46865,first_blood,other,dragon,tower_bot,dragon,BLUE,1,1,1,1,0.0,6.0,1,0,0,3,0.67,12.5,BLUE
46866,first_blood,dragon,other,dragon,other,BLUE,1,0,1,1,0.0,6.0,1,0,1,3,0.67,12.5,RED
46873,first_blood,dragon,dragon,other,other,RED,0,0,0,7,0.29,6.0,2,0,2,1,0.0,8.0,RED
46874,first_blood,dragon,other,dragon,tower_bot,RED,2,1,1,7,0.29,5.18,0,0,0,0,0.0,0.0,BLUE
46882,first_blood,other,dragon,other,dragon,RED,1,0,1,3,0.0,4.6,1,0,1,6,0.33,58.0,RED
46883,dragon,other,dragon,first_blood,other,RED,2,0,0,0,0.0,0.0,0,0,2,9,0.67,5.67,RED
46379,dragon,first_blood,other,dragon,other,RED,0,0,0,3,0.33,1.11,2,0,2,3,0.33,3.88,RED
46380,dragon,other,dragon,tower_bot,other,no first blood,2,1,2,2,0.5,4.0,0,0,0,2,1.0,5.5,BLUE
46385,first_blood,dragon,other,other,dragon,RED,1,0,2,5,0.8,7.12,1,0,0,2,1.0,0.27,BLUE
46386,first_blood,dragon,other,dragon,other,BLUE,0,0,0,3,0.33,1.86,2,0,2,0,0.0,0.0,RED
47411,dragon,other,first_blood,dragon,other,BLUE,1,0,2,1,1.0,14.0,1,0,0,0,0.0,0.0,BLUE
47415,first_blood,dragon,other,other,dragon,RED,0,0,2,3,0.67,5.4,2,0,0,2,1.0,3.75,RED
45368,other,first_blood,dragon,other,dragon,RED,0,0,1,0,0.0,0.0,2,0,1,1,1.0,1.6,RED
45369,first_blood,dragon,other,dragon,tower_bot,BLUE,2,1,1,0,0.0,0.0,0,0,0,2,0.5,2.86,BLUE
46394,first_blood,dragon,other,dragon,tower_bot,BLUE,2,1,1,6,0.83,6.7,0,0,0,7,0.57,6.88,BLUE
46395,first_blood,dragon,other,dragon,tower_bot,RED,2,1,0,2,0.0,1.71,0,0,1,4,0.25,0.83,BLUE
47417,first_blood,dragon,other,dragon,other,RED,2,0,0,0,0.0,0.0,0,0,2,1,1.0,4.5,RED
